id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2560232997,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cambui-bairros-campinas-com-garagem-47m2-aluguel-RS2500-id-2560232997/,"Apartamento com Quarto para Aluguel, 47m²","Cambuí, Campinas - SP",47,1 Quarto,2 Banheiros,1 Vaga,"Piscina
Elevador
Varanda
Ar-condicionado
Área de serviço
...",R$ 2.500 /mês,R$ 590,Campinas,2022-05-11 22:33
2561166268,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-von-zuben-bairros-campinas-com-garagem-61m2-aluguel-RS850-id-2561166268/,"Apartamento com 2 Quartos para Aluguel, 61m²","Avenida Engenheiro Antônio Francisco de Paula Souza, 3008 - Jardim Von Zuben, Campinas - SP",61,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Condomínio fechado
Academia",R$ 850 /mês,R$ 435,Campinas,2022-05-11 22:33
2559284069,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-prado-bairros-campinas-com-garagem-80m2-venda-RS550000-id-2559284069/,Apartamento com 3 Quartos para Venda/Aluguel 80m²,"Avenida Maria Emília Alves dos Santos de Ângelis, 520 - Parque Prado, Campinas - SP",80,3 Quartos,3 Banheiros,2 Vagas,"Varanda
Elevador
Mobiliado","R$ 2.700 /mês
R$ 550.000",R$ 1.028,Campinas,2022-05-11 22:33
2559610064,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-guarani-bairros-campinas-com-garagem-100m2-aluguel-RS2000-id-2559610064/,"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Professor Saul Carlos da Silva - Jardim Guarani, Campinas - SP",100,3 Quartos,2 Banheiros,1 Vaga,"Churrasqueira
Segurança 24h
Cozinha
Salão de festas",R$ 2.000 /mês,R$ 551,Campinas,2022-05-11 22:33
2559916938,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-campinas-44m2-aluguel-RS600-id-2559916938/,"Apartamento com Quarto para Aluguel, 44m²","Rua Regente Feijó, 1553 - Centro, Campinas - SP",44,1 Quarto,1 Banheiro,-- Vaga,"Cozinha
Varanda
Quintal
Área de serviço",R$ 600 /mês,R$ 350,Campinas,2022-05-11 22:33
2555667932,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambui-bairros-campinas-com-garagem-63m2-aluguel-RS2750-id-2555667932/,"Apartamento com 2 Quartos para Aluguel, 63m²","Rua Dona Josefina Sarmento, 367 - Cambuí, Campinas - SP",63,2 Quartos,2 Banheiros,2 Vagas,"Playground
Piscina para adulto
Varanda
Piscina",R$ 2.750 /mês,R$ 783,Campinas,2022-05-11 22:33
2561265358,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-nova-europa-bairros-campinas-com-garagem-68m2-aluguel-RS1900-id-2561265358/,"Apartamento com 3 Quartos para Aluguel, 68m²","Jardim Nova Europa, Campinas - SP",68,3 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Academia
Área de serviço
Playground
...",R$ 1.900 /mês,R$ 375,Campinas,2022-05-11 22:33
2560382138,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-bairros-campinas-com-garagem-59m2-aluguel-RS1500-id-2560382138/,"Apartamento com Quarto para Aluguel, 59m²","Botafogo, Campinas - SP",59,1 Quarto,2 Banheiros,1 Vaga,"Mobiliado
Churrasqueira
Elevador
Varanda
Área de serviço
...",R$ 1.500 /mês,R$ 350,Campinas,2022-05-11 22:33
2560801162,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-campinas-com-garagem-64m2-aluguel-RS2300-id-2560801162/,"Apartamento com 2 Quartos para Aluguel, 64m²","Rua Luzitana, 43 - Centro, Campinas - SP",64,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Varanda gourmet",R$ 2.300 /mês,R$ 416,Campinas,2022-05-11 22:33
2554094805,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-estanislau-bairros-campinas-com-garagem-78m2-aluguel-RS2000-id-2554094805/,"Apartamento com 2 Quartos para Aluguel, 78m²","Rua Quirino do Amaral Campos, 101 - Vila Estanislau, Campinas - SP",78,2 Quartos,2 Banheiros,1 Vaga,"Condomínio fechado
Portão eletrônico
Portaria 24h",R$ 2.000 /mês,R$ 570,Campinas,2022-05-11 22:33
