id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
2558558970,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-campinas-com-garagem-49m2-aluguel-RS950-id-2558558970/,"Apartamento com Quarto para Aluguel, 49m²","Rua Itu, 86 - Centro, Campinas - SP",49,1,2,1.0,Portão eletrônico,950,583.0,Campinas,2022-05-11 22:33, Centro
2559659498,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-75m2-venda-RS480000-id-2559659498/,Apartamento com 2 Quartos para Venda/Aluguel 75m²,"Rua Hermantino Coelho, 161 - Mansões Santo Antônio, Campinas - SP",75,2,2,1.0,Varanda,2600,600.0,Campinas,2022-05-11 22:33, Mansões Santo Antônio
2561701454,https://www.vivareal.com.br/imovel/apartamento-3-quartos-swiss-park-bairros-campinas-com-garagem-103m2-aluguel-RS3500-id-2561701454/,"Apartamento com 3 Quartos para Aluguel, 103m²","Avenida Wellman Galvão de França Rangel, 798 - Swiss Park, Campinas - SP",103,3,3,2.0,"Piscina
Churrasqueira
Elevador
Academia
Playground
...",3500,1000.0,Campinas,2022-05-11 22:33, Swiss Park
2561568233,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-proenca-bairros-campinas-com-garagem-72m2-aluguel-RS750-id-2561568233/,"Apartamento com 2 Quartos para Aluguel, 72m²","Rua Serra dos Itatins - Jardim Proença, Campinas - SP",72,2,1,1.0,"Cozinha
Elevador
Interfone
Lavanderia",750,650.0,Campinas,2022-05-11 22:33, Jardim Proença
2561186570,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-70m2-aluguel-RS3074-id-2561186570/,"Apartamento com 2 Quartos para Aluguel, 70m²","Mansões Santo Antônio, Campinas - SP",70,2,2,2.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Área de serviço
...",3074,695.0,Campinas,2022-05-11 22:33, SP
2547080594,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambui-bairros-campinas-com-garagem-180m2-aluguel-RS2000-id-2547080594/,"Apartamento com 3 Quartos para Aluguel, 180m²","Avenida Júlio de Mesquita, 1054 - Cambuí, Campinas - SP",180,3,3,1.0,nan,2000,2000.0,Campinas,2022-05-11 22:33, Cambuí
2559283114,https://www.vivareal.com.br/imovel/apartamento-3-quartos-chacara-da-barra-bairros-campinas-com-garagem-100m2-venda-RS520000-id-2559283114/,Apartamento com 3 Quartos para Venda/Aluguel 100m²,"Rua Maria da Encarnação Duarte, 128 - Chácara da Barra, Campinas - SP",100,3,3,2.0,"Closet
Varanda
Elevador",2300,780.0,Campinas,2022-05-11 22:33, Chácara da Barra
2559279348,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambui-bairros-campinas-com-garagem-102m2-venda-RS890000-id-2559279348/,Apartamento com 3 Quartos para Venda/Aluguel 102m²,"Rua Antônio Lapa, 1043 - Cambuí, Campinas - SP",102,3,4,3.0,"Piscina
Varanda
Academia
Playground
Lavanderia
...",3200,1191.0,Campinas,2022-05-11 22:33, Cambuí
2560068453,https://www.vivareal.com.br/imovel/apartamento-2-quartos-swift-bairros-campinas-com-garagem-60m2-venda-RS450000-id-2560068453/,Apartamento com 2 Quartos à Venda/Aluguel 60m²,"Rua Martinho Calsavara - Swift, Campinas - SP",60,2,2,1.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",2050,422.0,Campinas,2022-05-11 22:33, Swift
2554850867,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-nova-europa-bairros-campinas-com-garagem-62m2-aluguel-RS1650-id-2554850867/,"Apartamento com 3 Quartos para Aluguel, 62m²","Jardim Nova Europa, Campinas - SP",62,3,2,1.0,"Piscina
Churrasqueira
Condomínio fechado
Área de serviço
Quadra poliesportiva
...",1650,325.0,Campinas,2022-05-11 22:33, SP
2560557359,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-campinas-com-garagem-46m2-aluguel-RS2500-id-2560557359/,"Apartamento com Quarto para Aluguel, 46m²","Rua Ferreira Penteado, 880 - Centro, Campinas - SP",46,1,1,1.0,Mobiliado,2500,360.0,Campinas,2022-05-11 22:33, Centro
2561552589,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cambui-bairros-campinas-com-garagem-45m2-aluguel-RS1100-id-2561552589/,"Apartamento com Quarto para Aluguel, 45m²","Rua Coronel Quirino, 2152 - Cambuí, Campinas - SP",45,1,1,1.0,"Elevador
Condomínio fechado
Aceita animais
Jardim
Portaria 24h
...",1100,804.0,Campinas,2022-05-11 22:33, Cambuí
2559739371,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-dom-pedro-ii-bairros-campinas-com-garagem-58m2-aluguel-RS1250-id-2559739371/,"Apartamento com 2 Quartos para Aluguel, 58m²","Avenida Coaciara, 1101 - Parque Dom Pedro II, Campinas - SP",58,2,1,1.0,"Playground
Piscina para adulto
Interfone
Piscina",1250,0.0,Campinas,2022-05-11 22:33, Parque Dom Pedro II
2560107177,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambui-bairros-campinas-com-garagem-106m2-aluguel-RS2300-id-2560107177/,"Apartamento com 3 Quartos para Aluguel, 106m²","Avenida Júlio de Mesquita, 590 - Cambuí, Campinas - SP",106,3,3,1.0,Interfone,2300,900.0,Campinas,2022-05-11 22:33, Cambuí
2543683877,https://www.vivareal.com.br/imovel/apartamento-2-quartos-chacaras-campos-eliseos-bairros-campinas-com-garagem-45m2-aluguel-RS750-id-2543683877/,"Apartamento com 2 Quartos para Aluguel, 45m²","Chácaras Campos Elíseos, Campinas - SP",45,2,1,1.0,Cozinha americana,750,0.0,Campinas,2022-05-11 22:33, SP
2555169229,https://www.vivareal.com.br/imovel/apartamento-2-quartos-botafogo-bairros-campinas-com-garagem-66m2-aluguel-RS3300-id-2555169229/,"Apartamento com 2 Quartos para Aluguel, 66m²","Botafogo, Campinas - SP",66,2,2,1.0,"Churrasqueira
Piscina
Playground",3300,561.0,Campinas,2022-05-11 22:33, SP
2560923708,https://www.vivareal.com.br/imovel/apartamento-3-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-123m2-aluguel-RS6000-id-2560923708/,"Apartamento com 3 Quartos para Aluguel, 123m²","Mansões Santo Antônio, Campinas - SP",123,3,3,3.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",6000,820.0,Campinas,2022-05-11 22:33, SP
2548262062,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-campinas-com-garagem-32m2-aluguel-RS1300-id-2548262062/,"Apartamento com Quarto para Aluguel, 32m²","Rua Onze de Agosto, 411 - Centro, Campinas - SP",32,1,1,1.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",1300,1100.0,Campinas,2022-05-11 22:33, Centro
2551365805,https://www.vivareal.com.br/imovel/apartamento-1-quartos-guanabara-bairros-campinas-com-garagem-42m2-aluguel-RS3250-id-2551365805/,"Apartamento com Quarto para Aluguel, 42m²","Rua Álvaro Muller, 136 - Guanabara, Campinas - SP",42,1,1,1.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",3250,340.0,Campinas,2022-05-11 22:33, Guanabara
2550712330,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bonfim-bairros-campinas-com-garagem-85m2-aluguel-RS1600-id-2550712330/,"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Antônio José Ribeiro Júnior, 95 - Bonfim, Campinas - SP",85,3,3,1.0,"Piscina
Churrasqueira
Elevador
Área de serviço
Quadra poliesportiva
...",1600,835.0,Campinas,2022-05-11 22:33, Bonfim
2560421609,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cambui-bairros-campinas-com-garagem-50m2-aluguel-RS1500-id-2560421609/,"Apartamento com Quarto para Aluguel, 50m²","Rua Doutor Emílio Ribas, 1007 - Cambuí, Campinas - SP",50,1,1,1.0,"Piscina
Elevador
Varanda
Área de serviço
Cozinha
...",1500,810.0,Campinas,2022-05-11 22:33, Cambuí
2558542985,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-itapura-bairros-campinas-com-garagem-65m2-aluguel-RS1250-id-2558542985/,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Barão de Atibaia - Vila Itapura, Campinas - SP",65,2,2,1.0,"Churrasqueira
Elevador
Varanda
Área de serviço
Playground
...",1250,675.0,Campinas,2022-05-11 22:33, Vila Itapura
